rank,flare_classification,date,flare_region,start_time,maximum_time,end_time,archive_link
1,X40+,2003/11/04,0486,19:29,19:53,20:06,"<a href=""https://www.spaceweatherlive.com/en/archive/2003/11/04/xray.html"" target=""_blank"">View Archive</a>"
2,X28.57+,2001/04/02,9393,21:32,21:51,22:03,"<a href=""https://www.spaceweatherlive.com/en/archive/2001/04/02/xray.html"" target=""_blank"">View Archive</a>"
3,X24.57+,2003/10/28,0486,09:51,11:10,11:24,"<a href=""https://www.spaceweatherlive.com/en/archive/2003/10/28/xray.html"" target=""_blank"">View Archive</a>"
4,X24.42+,2005/09/07,0808,17:17,17:40,18:03,"<a href=""https://www.spaceweatherlive.com/en/archive/2005/09/07/xray.html"" target=""_blank"">View Archive</a>"
5,X20.67+,2001/04/15,9415,13:19,13:50,13:55,"<a href=""https://www.spaceweatherlive.com/en/archive/2001/04/15/xray.html"" target=""_blank"">View Archive</a>"
6,X14.36,2003/10/29,0486,20:37,20:49,21:01,"<a href=""https://www.spaceweatherlive.com/en/archive/2003/10/29/xray.html"" target=""_blank"">View Archive</a>"
7,X13.3,2017/09/06,2673,11:53,12:02,12:10,"<a href=""https://www.spaceweatherlive.com/en/archive/2017/09/06/xray.html"" target=""_blank"">View Archive</a>"
8,X12.97,1997/11/06,8100,11:49,11:55,12:01,"<a href=""https://www.spaceweatherlive.com/en/archive/1997/11/06/xray.html"" target=""_blank"">View Archive</a>"
9,X12.95,2006/12/05,0930,10:18,10:35,10:45,"<a href=""https://www.spaceweatherlive.com/en/archive/2006/12/05/xray.html"" target=""_blank"">View Archive</a>"
10,X11.96,2003/11/02,0486,17:03,17:25,17:39,"<a href=""https://www.spaceweatherlive.com/en/archive/2003/11/02/xray.html"" target=""_blank"">View Archive</a>"
11,X11.88,2017/09/10,2673,15:35,16:06,16:31,"<a href=""https://www.spaceweatherlive.com/en/archive/2017/09/10/xray.html"" target=""_blank"">View Archive</a>"
12,X10.18,2005/01/20,0720,06:36,07:01,07:26,"<a href=""https://www.spaceweatherlive.com/en/archive/2005/01/20/xray.html"" target=""_blank"">View Archive</a>"
13,X9.96,2011/08/09,1263,07:48,08:05,08:08,"<a href=""https://www.spaceweatherlive.com/en/archive/2011/08/09/xray.html"" target=""_blank"">View Archive</a>"
14,X9.4,2006/12/06,0930,18:29,18:47,19:00,"<a href=""https://www.spaceweatherlive.com/en/archive/2006/12/06/xray.html"" target=""_blank"">View Archive</a>"
15,X9,2024/10/03,3842,12:08,12:18,12:27,"<a href=""https://www.spaceweatherlive.com/en/archive/2024/10/03/xray.html"" target=""_blank"">View Archive</a>"
16,X8.9,2001/12/13,9733,14:20,14:30,14:35,"<a href=""https://www.spaceweatherlive.com/en/archive/2001/12/13/xray.html"" target=""_blank"">View Archive</a>"
17,X8.87,2005/09/09,0808,19:13,20:04,20:36,"<a href=""https://www.spaceweatherlive.com/en/archive/2005/09/09/xray.html"" target=""_blank"">View Archive</a>"
18,X8.79,2024/05/14,3664,16:46,16:51,17:02,"<a href=""https://www.spaceweatherlive.com/en/archive/2024/05/14/xray.html"" target=""_blank"">View Archive</a>"
19,X8.21,2000/07/14,9077,10:03,10:24,10:43,"<a href=""https://www.spaceweatherlive.com/en/archive/2000/07/14/xray.html"" target=""_blank"">View Archive</a>"
20,X8.08,2001/04/06,9415,19:10,19:21,19:31,"<a href=""https://www.spaceweatherlive.com/en/archive/2001/04/06/xray.html"" target=""_blank"">View Archive</a>"
